ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
467,根菾菜根,34.4678,1.324,0.0838,7.7686
468,白蘿蔔平均值,17.5798,0.5485,0.1277,3.8652
469,白蘿蔔,16.0011,0.695,0.146,3.3226
470,白蘿蔔(長形),19.1585,0.402,0.1093,4.4078
471,櫻桃蘿蔔,10.7028,0.595,0.0,2.3446
472,青蘿蔔,32.66,1.809,0.0868,6.9728
473,蘿蔔乾,57.8833,2.2,1.19,10.81
474,百合鱗片,136.6158,3.793,0.0627,32.347
475,乾百合鱗片,303.9155,11.838,0.7399,68.3864
476,芋莖,19.7972,1.1,0.46,3.35
477,金針菜嫩莖,23.9964,0.7207,0.1523,5.3419
478,草石蠶,74.8778,1.725,0.0,18.0406
479,球莖甘藍,19.943,1.5563,0.2257,3.5837
480,孟宗竹筍,40.0978,3.958,0.15,7.3006
481,熟桂竹筍,20.846,2.1323,0.1974,3.489
482,桂竹筍片,17.2214,1.011,0.218,3.2687
483,烏殼綠竹筍,21.4256,1.8233,0.2228,3.7907
484,茭白筍,20.459,1.332,0.1565,4.0152
485,麻竹筍,21.1126,2.1193,0.1564,3.6541
486,冷凍麻竹筍,17.2648,0.85,0.04,3.77
487,麻竹筍干,176.575,15.818,1.213,32.0459
488,綠竹筍,24.9617,1.7175,0.2348,4.7427
489,帶殼熟綠竹筍,25.2944,2.01,0.0899,4.9425
490,沙拉筍塊,23.7743,1.5635,0.098,4.8353
491,熟箭竹筍,19.7042,2.0968,0.3253,2.9456
492,白蘆筍,25.2835,1.8453,0.1565,4.9074
493,綠蘆筍平均值,21.8875,2.6543,0.1684,3.4677
494,綠蘆筍,22.2906,1.348,0.1639,4.4582
495,澳洲綠蘆筍(粗短型),20.4908,2.54,0.1929,3.1337
496,綠蘆筍(細短型),22.9636,3.26,0.2125,3.242
497,綠蘆筍(短型),21.8049,3.469,0.1043,3.0367
498,蘆筍花,20.6429,2.913,0.3053,2.6809
499,嫩莖萵苣,16.2946,1.0,0.18,3.12
500,嫩薑,21.2034,0.0,0.32,4.75
501,粉薑,28.3892,0.98,0.2629,6.0567
